R1_PINH1,89.58,50.30,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,116.60,25.97,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,65.41,-0.30,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.53,31.54,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.55,33.02,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,127.36,32.92,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,159.12,-4.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,94.30,47.68,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.72,-1.33,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,70.19,2.70,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,34.12,40.23,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,51.42,22.61,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,48.92,22.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,44.92,22.57,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,72.22,20.05,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.02,97.34,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.34,95.98,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,94.28,37.16,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.40,95.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.14,20.09,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.40,95.90,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
